NAME	DESCRIPTION	1_1ReadsPerGene.out.tab	1_2ReadsPerGene.out.tab	1_3ReadsPerGene.out.tab	5_1ReadsPerGene.out.tab	5_2ReadsPerGene.out.tab	5_3ReadsPerGene.out.tab
CNAG_01159	na	2148.83326283241	2173.40610469714	2022.34908693634	2167.73077638334	2180.706274769	1868.66171205628
CNAG_01158	na	7910.95674325109	7849.62950757444	7873.0176615126	7024.31956332627	7091.97100679591	7038.43293773273
CNAG_01157	na	1444.59379013944	1478.18317783263	1493.54068789923	1351.36415858632	1353.12263275761	1243.84603124489
CNAG_01156	na	2396.21994939379	2432.80341074261	2596.544234793	2387.67420981894	2353.70398524595	2188.01194891543
CNAG_01155	na	11772.5365185176	10508.4518945405	12065.4866454954	10550.3496516025	9981.50033314077	9664.97292929171
CNAG_01154	na	260.026882225099	256.536306346437	263.876446625305	310.100426420469	343.19005267591	297.365981423198
CNAG_01153	na	32776.0273560262	37120.5174283596	34906.6318653818	27950.6492976813	26931.5354688452	30960.7740502798
CNAG_01152	na	66492.8464178806	64936.1101689043	71068.2601109136	51559.8926254761	51561.7338269673	62582.2328297139
CNAG_01151	na	565.197320392055	597.948937097458	556.251549486143	629.117478520759	669.547895683791	737.051090142322
CNAG_01150	na	17043.4981102888	17968.0317764804	17136.1364438473	19293.596498761	19086.7906407847	20292.6248334632
CNAG_01149	na	2380.87114037356	2393.70308152252	2261.94890047211	2331.20224718007	2601.5115164697	1784.19588853919
CNAG_01148	na	16542.4046393342	15808.9306702784	16947.2009080636	8653.08985417371	8144.91923380702	8914.03704624247
CNAG_01147	na	1177.34393896364	1317.01352812056	1109.33658161278	1141.32808701719	1106.25022429319	1364.18090310486
CNAG_01146	na	2352.88213568961	2267.81909476516	2311.55767243767	1624.80734610086	1643.94581091076	1540.05494659251
CNAG_01145	na	1531.2694175478	1375.18718866752	1487.20765318022	1222.56845432223	1288.5991623635	1226.49004011124
CNAG_01144	na	2366.42520247217	2357.46375200146	2458.27297676134	2649.22856309371	2437.8650335861	2285.20549926387
CNAG_01143	na	610.340876333912	648.49326511367	602.693804092197	585.525086308297	691.990841907829	689.61138104368
CNAG_01142	na	1776.85036187151	1499.16384229219	1511.48428626975	1578.24274532845	1614.02188261204	1312.11292970391
CNAG_01141	na	883.007954222731	815.384914223806	923.567563188567	864.912690942713	802.335327509348	864.328358455753
